"bank","bank_code"
"中国工商银行",102
"中国农业银行",103
"中国银行",104
"中国建设银行",105
"国家开发银行",201
"中国进出口银行",202
"中国农业发展银行",203
"交通银行",301
"中国邮政储蓄银行",403
"中信银行",302
"中国光大银行",303
"华夏银行",304
"中国民生银行",305
"广东发展银行",306
"招商银行",308
"上海浦东发展银行",310
"城市商业银行",904
"农村商业银行",402
"恒丰银行",315
"农村合作银行",402
"渤海银行",318
"徽商银行",319
"城市信用社",313
"农村信用联社",402
"香港上海汇丰银行",501
"东亚银行",502
"南洋商业银行",503
"恒生银行",504
"中国银行（香港）",989
"(香港地区)银行",989
"集友银行",506
"星展银行（香港）",509
"永亨银行",510
"美国花旗银行",531
"美国银行",532
"美国摩根大通银行",533
"日本三菱东京日联银行",561
"日本日联银行",562
"日本三井住友银行",563
"日本瑞穗实业银行",564
"日本山口银行",565
"韩国外换银行",591
"韩国新韩银行",595
"韩国友利银行",593
"韩国产业银行",594
"韩国中小企业银行",596
"新加坡星展银行",623
"奥地利中央合作银行",641
"比利时联合银行",651
"荷兰银行",661
"荷兰商业银行",662
"渣打银行",671
"法国兴业银行",691
"法国巴黎银行",692
"法国东方汇理银行",693
"德国德累斯登银行",711
"德意志银行",712
"德国商业银行",713
"德国西德银行",714
"德国巴伐利亚州银行",715
"瑞士信贷银行",741
"加拿大蒙特利尔银行",752
"澳大利亚和新西兰银行集团",NULL
"德富泰银行",NULL
"厦门国际银行",NULL
"法国巴黎银行（中国）",NULL
"平安银行",307
"青岛国际银行",786
"华一银行",787
"大连银行",311
"上海银行",312
"浙商银行",316
"宁波银行",320
"杭州银行",321
"江苏银行",322
"兰州银行",323
"南昌银行",324
"南京银行",325
"齐鲁银行",326
"齐商银行",327
"天津银行",328
"温州银行",329
"西安银行",330
"厦门银行",331
"鄞州银行",332
"台州银行",335
"广州银行",336
"临商银行",342
"嘉兴银行",345
"金华银行",346
"青岛银行",348
"南阳银行",349
"成都银行",642
"深圳发展银行",807
"兴业银行",809
"北京银行",309
"广州农村商业银行",313
